x1,x2,x3 ,y
0.6 , -0.6 , 0.6 , 0.61176
0.6 , -0.6 , 0.8 , 0.60708
0.6 , -0.6 , 1.0 , 0.6023999999999999
0.6 , -0.4 , -1.0 , 0.6628000000000001
0.6 , -0.4 , -0.8 , 0.66018
0.6 , -0.4 , -0.6 , 0.65756
0.6 , -0.4 , -0.4 , 0.65494
0.6 , -0.4 , -0.2 , 0.65232
0.6 , -0.4 , 0.0 , 0.6496999999999999
0.6 , -0.4 , 0.2 , 0.6470799999999999
0.6 , -0.4 , 0.4 , 0.6444599999999999
0.6 , -0.4 , 0.6 , 0.6418399999999999
0.6 , -0.4 , 0.8 , 0.6392199999999999
0.6 , -0.4 , 1.0 , 0.6365999999999998
0.6 , -0.2 , -1.0 , 0.6764
0.6 , -0.2 , -0.8 , 0.67584
0.6 , -0.2 , -0.6 , 0.67528
0.6 , -0.2 , -0.4 , 0.67472
0.6 , -0.2 , -0.2 , 0.67416
0.6 , -0.2 , 0.0 , 0.6736
0.6 , -0.2 , 0.2 , 0.67304
0.6 , -0.2 , 0.4 , 0.67248
0.6 , -0.2 , 0.6 , 0.67192
0.6 , -0.2 , 0.8 , 0.67136
0.6 , -0.2 , 1.0 , 0.6708
0.6 , 0.0 , -1.0 , 0.6900000000000001
0.6 , 0.0 , -0.8 , 0.6915
0.6 , 0.0 , -0.6 , 0.6930000000000001
0.6 , 0.0 , -0.4 , 0.6945
0.6 , 0.0 , -0.2 , 0.6960000000000001
0.6 , 0.0 , 0.0 , 0.6975
0.6 , 0.0 , 0.2 , 0.699
0.6 , 0.0 , 0.4 , 0.7005
0.6 , 0.0 , 0.6 , 0.702
0.6 , 0.0 , 0.8 , 0.7035
0.6 , 0.0 , 1.0 , 0.705
0.6 , 0.2 , -1.0 , 0.7036000000000001
0.6 , 0.2 , -0.8 , 0.70716
0.6 , 0.2 , -0.6 , 0.7107200000000001
0.6 , 0.2 , -0.4 , 0.71428
0.6 , 0.2 , -0.2 , 0.7178400000000001
0.6 , 0.2 , 0.0 , 0.7214
0.6 , 0.2 , 0.2 , 0.7249599999999999
0.6 , 0.2 , 0.4 , 0.7285200000000001
0.6 , 0.2 , 0.6 , 0.73208
0.6 , 0.2 , 0.8 , 0.7356400000000001
0.6 , 0.2 , 1.0 , 0.7392
0.6 , 0.4 , -1.0 , 0.7172000000000001
0.6 , 0.4 , -0.8 , 0.72282
0.6 , 0.4 , -0.6 , 0.7284400000000001
0.6 , 0.4 , -0.4 , 0.73406
0.6 , 0.4 , -0.2 , 0.7396800000000001
0.6 , 0.4 , 0.0 , 0.7453000000000001
0.6 , 0.4 , 0.2 , 0.75092
